incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Cooley Fire,True,2015-07-14T08:30:00Z,2015-07-13T17:56:00Z,"CAL FIRE Siskiyou Unit ",,Siskiyou,5 miles North of the community of Montague on Cooley Rd,181,100,,"CAL FIRE Siskiyou Unit ",-122.5029,41.8048,,8b35629f-50f4-4b32-b286-ce48cb1200e7,https://www.fire.ca.gov/incidents/2015/7/13/cooley-fire/,2015-07-14T08:30:00Z,2015-07-14,2015-07-13,N,True,False
Lake Fire,True,2015-07-17T15:15:00Z,2015-07-16T11:30:00Z,CAL FIRE San Diego Unit,,San Diego,"off Highway 76, near Moretti Junction, near Lake Henshaw",25,100,,CAL FIRE San Diego Unit,-116.73472,33.21407,,98b0706c-ac34-4d9a-9ceb-55996099daed,https://www.fire.ca.gov/incidents/2015/7/16/lake-fire/,2015-07-17T15:15:00Z,2015-07-17,2015-07-16,N,True,False
North Fire,True,2015-07-21T07:00:00Z,2015-07-17T14:33:00Z,"CAL FIRE San Bernardino Unit/ San Bernardino National Forest / San Bernardino County Fire ",,San Bernardino,"off Interstate 15, south of Oaks Hills, in the Cajon Pass area",4250,100,Hwy 15 open,"CAL FIRE San Bernardino Unit/ San Bernardino National Forest / San Bernardino County Fire ",-117.478,34.339,,3d81d2e5-d6e5-4368-864b-a9e29e7e5022,https://www.fire.ca.gov/incidents/2015/7/17/north-fire/,2015-07-21T07:00:00Z,2015-07-21,2015-07-17,N,True,False
"Pines Fire ",True,2015-08-04T08:15:00Z,2015-07-17T21:30:00Z,"USFS - Angeles National Forest ",,Los Angeles,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,200,100,,"USFS - Angeles National Forest ",-117.683,34.367,,0c9948a7-98ad-4b42-888e-a7c2a4f536fa,https://www.fire.ca.gov/incidents/2015/7/17/pines-fire/,2015-08-04T08:15:00Z,2015-08-04,2015-07-17,N,False,False
Betabel Fire,True,2015-07-20T15:30:00Z,2015-07-20T13:23:00Z,CAL FIRE San Benito-Monterey Unit,,San Benito,"off Hwy 101 between Anzar Rd & Hwy 156, in Aromas",25,100,,CAL FIRE San Benito-Monterey Unit,-121.5681,36.8727,,296fc88f-e646-4c89-9b46-3ac0f88ff910,https://www.fire.ca.gov/incidents/2015/7/20/betabel-fire/,2015-07-20T15:30:00Z,2015-07-20,2015-07-20,N,True,False
Triple Fire,True,2015-07-26T10:30:00Z,2015-07-21T12:35:00Z,CAL FIRE Tulare Unit,,Tulare,"Globe Dr and Mountain Rd, Springville",430,100,,CAL FIRE Tulare Unit,-118.824235,36.085212,,9e2f6af4-ea45-4163-b6a1-e1fe9571fda3,https://www.fire.ca.gov/incidents/2015/7/21/triple-fire/,2015-07-26T10:30:00Z,2015-07-26,2015-07-21,N,True,False
Dorris Fire,True,2015-07-22T17:00:00Z,2015-07-21T17:00:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,"Off Hwy 161 & Hwy 97, northeast of Dorris",24,100,"Hwy 97 closed, Stateline Hwy 161 open with traffic control.","CAL FIRE Siskiyou Unit, SISKIYOU COUNTY SHERIFF’S DEPARTMENT, CHP, DORRIS FIRE, BUTTE VALLEY FIRE, KLAMATH NATIONAL FOREST",-121.891226,41.999341,,098eb80f-1ecb-489d-baef-1440fa0e98d6,https://www.fire.ca.gov/incidents/2015/7/21/dorris-fire/,2015-07-22T17:00:00Z,2015-07-22,2015-07-21,N,True,False
Wragg Fire,True,2015-08-05T17:30:00Z,2015-07-22T14:24:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,,"Off of Hwy 128 near Greaves Rd, Lake Berryessa",8051,100,All road open to normal traffic.,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Winters FPD, Vacaville FPD, Vacaville City Fire, City of Winters, Napa County Sheriff, Solano County Sheriff, Yolo County Sheriff, CHP, Red Cross, PG&E, Napa County Road Department, CDCR, CalOES, Salvation Army, CCC, BLM, CalTrans, Air Resources Board, Bureau of Reclamation, Yocha Dehe Wintun Nation, and CAL FIRE Incident Management Team 6",-122.1145,38.4994,,c2279826-dc2f-4eb5-9d3b-3d03eb0b139f,https://www.fire.ca.gov/incidents/2015/7/22/wragg-fire/,2015-08-05T17:30:00Z,2015-08-05,2015-07-22,N,True,False
Creek Fire,True,2016-10-12T18:00:00Z,2016-10-10T16:13:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,Dry Creek Road 3 miles west of Yountville,65,100,All road closures have been lifted.,"CAL FIRE Sonoma-Lake-Napa Unit, Napa County Fire, Napa County Office of Emergency Services, Napa County Sheriff’s  Office, CA Highway Patrol, CA Dept. of Corrections and Rehabilitation",-122.43172,38.40958,,3135c367-1274-4cc4-9152-661f6fd7707e,https://www.fire.ca.gov/incidents/2016/10/10/creek-fire/,2016-10-12T18:00:00Z,2016-10-12,2016-10-10,N,True,False
Baxter Fire,True,2015-07-22T19:50:00Z,2015-07-22T18:17:00Z,CAL FIRE Nevada Yuba Placer Unit,,Placer,"Baxter Grade Rd, 3 miles West of Auburn",26,100,,CAL FIRE Nevada Yuba Placer Unit,-121.1548,38.9361,,ee7ec0f0-4f5d-4fe1-b2fa-bc15f91519b3,https://www.fire.ca.gov/incidents/2015/7/22/baxter-fire/,2015-07-22T19:50:00Z,2015-07-22,2015-07-22,N,True,False
Kyburz Fire,True,2015-07-29T14:15:00Z,2015-07-23T14:00:00Z,"USFS - El Dorado National Forest ",,El Dorado,off Hwy 50 at White Hall Canyon Dr in Kyburz,75,100,,"USFS - El Dorado National Forest ",-120.404,38.776,,74635a69-f34f-4c6e-9e09-1a32d732bb42,https://www.fire.ca.gov/incidents/2015/7/23/kyburz-fire/,2015-07-29T14:15:00Z,2015-07-29,2015-07-23,N,False,False
3-11 Fire,True,2015-07-26T10:10:00Z,2015-07-23T16:40:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,"on Splawn Mountain, northeast of Bieber",116,100,,CAL FIRE Lassen-Modoc Unit,-121.172117,41.29226,,0da79ccb-9701-4c27-8831-f10593fb8a90,https://www.fire.ca.gov/incidents/2015/7/23/3-11-fire/,2015-07-26T10:10:00Z,2015-07-26,2015-07-23,N,True,False
3-12 Fire,True,2015-07-25T22:00:00Z,2015-07-23T17:30:00Z,CAL FIRE Lassen-Modoc Unit,,Modoc,"in Dixie Valley, southwest of Bieber",77,100,,CAL FIRE Lassen-Modoc Unit,-121.101623,40.856422,,12f68592-30e3-461c-b489-bc99ba52a38a,https://www.fire.ca.gov/incidents/2015/7/23/3-12-fire/,2015-07-25T22:00:00Z,2015-07-25,2015-07-23,N,True,False
Cutca Fire,True,2015-07-26T06:45:00Z,2015-07-24T16:18:00Z,USFS - Cleveland National Forest,,San Diego,"On Palomar Mountain, north of the Palomar Observatory",167,100,,USFS - Cleveland National Forest,-116.868611,33.383889,,d7757da4-f9e1-451f-8316-26065888dfc2,https://www.fire.ca.gov/incidents/2015/7/24/cutca-fire/,2015-07-26T06:45:00Z,2015-07-26,2015-07-24,N,False,False
Park Fire,True,2015-07-25T16:05:00Z,2015-07-24T12:43:00Z,CAL FIRE San Diego Unit,,San Diego,"Off of Lake Morena Drive near Lake Morena Park, north of Campo",25,100,,CAL FIRE San Diego Unit,-116.51684,32.682547,,a80b8ab7-eba5-4ef7-9992-0cf828138f1b,https://www.fire.ca.gov/incidents/2015/7/24/park-fire/,2015-07-25T16:05:00Z,2015-07-25,2015-07-24,N,True,False
Lowell Fire,True,2015-08-12T19:15:00Z,2015-07-25T14:37:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Nevada,In the Steep Hollow drainage west of Alta,2304,100,All road closures have been lifted.,"CAL FIRE Nevada-Yuba-Placer Unit, Cal OES, California National Guard, CHP, Nevada County Sheriff, Placer County Sheriff, USFS, BLM, California Conservation Corps, SPI, and PG&E.",-120.882313,39.192088,,d6b4bed4-f3d6-488a-a2fb-54c7cbfbd8b3,https://www.fire.ca.gov/incidents/2015/7/25/lowell-fire/,2015-08-12T19:15:00Z,2015-08-12,2015-07-25,N,True,False
Queen Fire,True,2015-08-01T21:45:00Z,2015-07-24T23:00:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",158,100,,"CAL FIRE Humboldt-Del Norte Unit, California Department of Corrections and Rehabilitation",-123.784067,41.295667,,8be9d271-ed9c-4bc9-9c22-4eff8956ab7b,https://www.fire.ca.gov/incidents/2015/7/24/queen-fire/,2015-08-01T21:45:00Z,2015-08-01,2015-07-24,N,True,False
Willow Fire,True,2015-08-13T10:30:00Z,2015-07-25T14:30:00Z,"US Forest Service - Sierra National Forest ",,Madera,"off of Willow Canyon Drive and Road 274, southeast of Bass Lake",5702,100,,"US Forest Service - Sierra National Forest ",-119.50014,37.279722,,8650f48d-5ea2-4dfc-96d2-f0d3f300b1e4,https://www.fire.ca.gov/incidents/2015/7/25/willow-fire/,2015-08-13T10:30:00Z,2015-08-13,2015-07-25,N,True,False
Mark Fire,True,2015-08-18T07:15:00Z,2015-08-13T16:15:00Z,CAL FIRE Tuolumne Calaveras Unit,,Calaveras,Marks Ranch Rd south of Angels Camp,114,100,,CAL FIRE Tuolumne Calaveras Unit,-120.5577,38.052,,fe668595-0980-4f41-af0c-3f14c4d391c2,https://www.fire.ca.gov/incidents/2015/8/13/mark-fire/,2015-08-18T07:15:00Z,2015-08-18,2015-08-13,N,True,False
Sullivan Fire,True,2015-07-28T15:00:00Z,2015-07-28T12:10:00Z,CAL FIRE Santa Clara Unit,,Stanislaus,"Sullivan Rd and Orestimba Rd, 10 miles West of Newman",40,100,,CAL FIRE Santa Clara Unit,-121.20324,37.24523,,57397ed5-93a3-4e60-9142-9a3e38164ee9,https://www.fire.ca.gov/incidents/2015/7/28/sullivan-fire/,2015-07-28T15:00:00Z,2015-07-28,2015-07-28,N,True,False
Buck Fire,True,2015-07-31T19:00:00Z,2015-07-28T17:19:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"off Alderpoint Road & Wallan Road near Garberville ",16,100,,CAL FIRE Humboldt-Del Norte Unit,-123.774,40.1093,,0a645cbe-2d5a-4e2b-80c9-cb9167641cca,https://www.fire.ca.gov/incidents/2015/7/28/buck-fire/,2015-07-31T19:00:00Z,2015-07-31,2015-07-28,N,True,False
Cabin Fire,True,2015-09-05T18:00:00Z,2015-07-19T08:00:00Z,USFS - Sequoia National Forest,,Tulare,"Golden Trout Wilderness, Sequoia National Forest",6980,100,,USFS - Sequoia National Forest,-118.54,36.24,,c316e4c3-4455-4a12-8ecc-af75339adf8f,https://www.fire.ca.gov/incidents/2015/7/19/cabin-fire/,2015-09-05T18:00:00Z,2015-09-05,2015-07-19,N,False,False
Swedes Fire,True,2015-08-03T17:00:00Z,2015-07-29T11:25:00Z,CAL FIRE Butte Unit,,Butte,"Swedes Flat Road, 3 miles north of Bangor",400,100,,"CAL FIRE Butte Unit, CAL FIRE, CHP, GCSO, PG&E, Red Cross, North Valley Animal Disaster Group, Butte County OEM.",-121.38794,39.43963,,7428460d-f47d-45c0-8a86-3fb653829860,https://www.fire.ca.gov/incidents/2015/7/29/swedes-fire/,2015-08-03T17:00:00Z,2015-08-03,2015-07-29,N,True,False
Rocky Fire,True,2015-08-14T18:15:00Z,2015-07-29T15:29:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"near Morgan Valley Road and Rocky Creek Road, east of Clear Lake",69438,100,,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, California Army National Guard, Kelseyville FPD, South Lake FPD, Northshore FPD, Lake County Office of Emergency Services, CHP, CDCR, BLM, USFS, Lake Evacuation and Animal Protection (LEAP), RED CROSS, Lake County Sheriff, Lake County fire agencies, Salvation Army, Yolo County Sheriff, Colusa County Sheriff, Napa County Sheriff, Pacific Gas and Electric, Nevada Division of Forestry, NVADG, Cal Trans, California Conservations Corps and Lake County EOC.",-122.4762475,38.8863538,,23e85238-2966-452c-8f21-fa93a51e889b,https://www.fire.ca.gov/incidents/2015/7/29/rocky-fire/,2015-08-14T18:15:00Z,2015-08-14,2015-07-29,N,True,False
Mallard Fire,True,2015-07-31T18:40:00Z,2015-07-29T16:30:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"off Mallard Way in Millville ",75,100,,"CAL FIRE Shasta-Trinity Unit, CAL FIRE, Shasta County Fire Department, Millville Fire Protection District, PG&E, Shasta County Sheriff’s Department, California Department of Corrections and Rehabilitation, California Highway Patrol",-122.199227,40.509552,,259d9359-0cc2-4058-bfc2-f28ab2a540f4,https://www.fire.ca.gov/incidents/2015/7/29/mallard-fire/,2015-07-31T18:40:00Z,2015-07-31,2015-07-29,N,True,False
China Fire,True,2015-08-01T19:00:00Z,2015-07-29T17:55:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"China Gulch, Happy Valley, Southwest of Redding",212,100,,CAL FIRE Shasta-Trinity Unit,-122.439939,40.415108,,efe937e3-8b63-4495-b578-e2582fb2166d,https://www.fire.ca.gov/incidents/2015/7/29/china-fire/,2015-08-01T19:00:00Z,2015-08-01,2015-07-29,N,True,False
Big Creek Fire,True,2015-08-04T18:00:00Z,2015-07-29T16:30:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,"off Hwy120 and Sprague Rd near Groveland ",204,100,,"CAL FIRE Tuolumne-Calaveras Unit, US Forest Service, Tuolumne County Fire Department, Stanislaus Consolidated, Copperopolis Fire, Central Fire, San Andreas Fire, Georgetown, Diamond Springs, Santa Barbara County, Groveland Community Services District, Lathrop – Manteca, Los Angeles County, Orange County, Carson City, Storey County, Sparks Fire Department, East Fork Fire and Paramedic District, Central Line County, California Office of Emergency Services, California Department of Corrections, Hetch Hetchy Water and Power, PG&E, California Highway Patrol, Tuolumne County.",-120.15644,37.823,,55a1ec97-90fb-48df-8414-203b91adcd76,https://www.fire.ca.gov/incidents/2015/7/29/big-creek-fire/,2015-08-04T18:00:00Z,2015-08-04,2015-07-29,N,True,False
Tulloch Fire,True,2015-08-16T19:20:00Z,2015-08-15T16:11:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,"south of Hwy 108 & Tulloch Rd, south of Lake Tulloch",112,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.61691,37.83618,,72c7a5c9-82c2-44c4-8bf2-241fb36e1ee7,https://www.fire.ca.gov/incidents/2015/8/15/tulloch-fire/,2015-08-16T19:20:00Z,2015-08-16,2015-08-15,N,True,False
Vasco Fire,True,2015-07-30T16:00:00Z,2015-07-30T11:18:00Z,CAL FIRE Santa Clara Unit,,Contra Costa,"Vasco Rd,  3 miles southwest of Byron",195,100,,CAL FIRE Santa Clara Unit,-121.68113,37.81629,,652938d9-2f23-41d8-a49c-30b218594762,https://www.fire.ca.gov/incidents/2015/7/30/vasco-fire/,2015-07-30T16:00:00Z,2015-07-30,2015-07-30,N,True,False
Sprig Fire,True,2015-07-31T18:30:00Z,2015-07-30T12:57:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Sprig Way and Millville Plains Rd, Millville; 10 miles southeast of Redding",90,100,,CAL FIRE Shasta-Trinity Unit,-122.20109,40.49865,,8232dfd5-eda3-4766-83ec-83365cf21d93,https://www.fire.ca.gov/incidents/2015/7/30/sprig-fire/,2015-07-31T18:30:00Z,2015-07-31,2015-07-30,N,True,False
Advance Fire,True,2015-08-05T17:45:00Z,2015-07-30T12:40:00Z,CAL FIRE Tulare Unit,,Tulare,5 miles north of the community of Three Rivers near Advance,86,100,,CAL FIRE Tulare Unit,-118.9009,36.49845,,2a6270c5-859f-4ffa-91c2-ecbee5ebdd7b,https://www.fire.ca.gov/incidents/2015/7/30/advance-fire/,2015-08-05T17:45:00Z,2015-08-05,2015-07-30,N,True,False
Mendocino Lightning Fires,True,2015-08-03T08:55:00Z,2015-07-30T13:36:00Z,CAL FIRE Mendocino Unit,,Mendocino,Community of Willits and Brooktrails,50,100,,CAL FIRE Mendocino Unit,-123.36316,39.43301,,9f031bfa-47bc-4fee-aca1-988462d6ab53,https://www.fire.ca.gov/incidents/2015/7/30/mendocino-lightning-fires/,2015-08-03T08:55:00Z,2015-08-03,2015-07-30,N,True,False
Anza Fire,True,2015-08-15T17:30:00Z,2015-08-10T11:44:00Z,CAL FIRE/Riverside County Fire,,Riverside,Highway 74 east of Highway 371,543,100,,CAL FIRE/Riverside County Fire,-116.5387,33.5736,,592f14da-405c-4e6d-a83b-8937322524ad,https://www.fire.ca.gov/incidents/2015/8/10/anza-fire/,2015-08-15T17:30:00Z,2015-08-15,2015-08-10,N,True,False
Frog Fire,True,2015-07-31T20:00:00Z,2015-07-30T17:45:00Z,USFS Modoc National Forest,,Modoc,SW of Lava Campground,4863,100,,USFS Modoc National Forest,-121.392,41.399,,a063b897-28aa-43e5-b608-1b79f770050c,https://www.fire.ca.gov/incidents/2015/7/30/frog-fire/,2015-07-31T20:00:00Z,2015-07-31,2015-07-30,N,False,False
Fern Fire,True,2015-08-04T18:00:00Z,2015-08-02T03:00:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Fern Rd and Oak Run Rd, 1 mile east of the Community of Oak Run",75,100,,CAL FIRE Shasta-Trinity Unit,-121.93244,40.67868,,dfd02b2e-7e2d-4636-a178-0ebff2d170c8,https://www.fire.ca.gov/incidents/2015/8/2/fern-fire/,2015-08-04T18:00:00Z,2015-08-04,2015-08-02,N,True,False
White Fire,True,1969-12-31T16:00:00Z,2015-08-01T14:32:00Z,Santa Barbara County Fire,,Santa Barbara,"off White Oak Ln, east of Santa Maria",52,100,,Santa Barbara County Fire,-120.2903,34.9522,,f136ba8d-f6bb-4bad-9815-1d56f9dc8650,https://www.fire.ca.gov/incidents/2015/8/1/white-fire/,1969-12-31T16:00:00Z,1969-12-31,2015-08-01,N,True,False
Francis Fire,True,2015-08-05T07:30:00Z,2015-08-03T18:07:00Z,CAL FIRE Nevada-Yuba-Placer Unit,,Yuba,Colgate Powerhouse south of Dobbins,30,100,,CAL FIRE Nevada-Yuba-Placer Unit,-121.18735,39.33303,,139766ba-33ac-442e-9a6b-b78d270c110a,https://www.fire.ca.gov/incidents/2015/8/3/francis-fire/,2015-08-05T07:30:00Z,2015-08-05,2015-08-03,N,True,False
Point Fire,True,2015-08-04T08:15:00Z,2015-08-03T14:28:00Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Gas Point and Happy Valley Rd, west of Cottonwood",59,100,,CAL FIRE Shasta-Trinity Unit,-122.40546,40.3929,,6c5fcfc7-659a-44ee-b225-c4ae919882e7,https://www.fire.ca.gov/incidents/2015/8/3/point-fire/,2015-08-04T08:15:00Z,2015-08-04,2015-08-03,N,True,False
Dodge Fire,True,2015-08-04T10:37:00Z,2015-08-03T14:15:00Z,Bureau of Land Management,,Lassen,17 miles northeast of Ravendale,10570,100,,Bureau of Land Management,-120.105,40.938,,293c6467-7b2e-43a3-94c1-41cec4339b67,https://www.fire.ca.gov/incidents/2015/8/3/dodge-fire/,2015-08-04T10:37:00Z,2015-08-04,2015-08-03,N,False,False
De Luz Fire,True,2015-08-10T15:05:00Z,2015-08-09T08:22:00Z,CAL FIRE San Diego Unit,,San Diego,De Luz Rd and De Luz Murrieta Rd,55,100,,CAL FIRE San Diego Unit,-117.2886249,33.4115972,,3cc1aa4c-b87d-4b4d-99b1-83dc56291b33,https://www.fire.ca.gov/incidents/2015/8/9/de-luz-fire/,2015-08-10T15:05:00Z,2015-08-10,2015-08-09,N,True,False
36 Fire,True,2015-08-09T20:30:00Z,2015-08-08T14:55:00Z,CAL FIRE Tehama-Glenn Unit,,Tehama,off Highwat 36 near Paynes Creek,110,100,,CAL FIRE Tehama-Glenn Unit,-121.7786799,40.3506868,,ffbc1cb8-be33-4483-8442-85ab2587dce4,https://www.fire.ca.gov/incidents/2015/8/8/36-fire/,2015-08-09T20:30:00Z,2015-08-09,2015-08-08,N,True,False
Jerusalem Fire,True,2015-08-25T06:45:00Z,2015-08-09T15:34:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,"Lake, Napa","Jerusalem Valley area, northeast of Middletown",25118,100,,"CAL FIRE Sonoma-Lake-Napa Unit, Lake County Sheriff, Lake County Fire Agencies, California National Guard, CDCR, CHP, USFS, BLM, Kelseyville FPD, South Lake FPD, Northshore FPD, Lake County Office of Emergency Services, Lake Evacuation and Animal Protection (LEAP), RED CROSS, Salvation Army, Yolo County Sheriff, Napa County Sheriff, Colusa County Sheriff, Pacific Gas and Electric, and  Cal Trans.",-122.4867319,38.8142503,,94a7ae52-fed9-4997-b972-1761aa4b89ca,https://www.fire.ca.gov/incidents/2015/8/9/jerusalem-fire/,2015-08-25T06:45:00Z,2015-08-25,2015-08-09,N,True,False
Cuesta Fire,True,2015-08-28T18:15:00Z,2015-08-16T18:13:00Z,"CAL FIRE San Luis Obispo Unit/ Los Padres National Forest ",,San Luis Obispo,"Off Highway 101 in the Cuesta Grade, north of San Luis Obispo",2446,100,,"CAL FIRE San Luis Obispo Unit/ Los Padres National Forest , San Luis Obispo County Sheriff, San Luis Obispo County OES, California Highway Patrol, CAL OES, California Department of Corrections and Rehabilitation, Bureau of Land Management, California Conservation Corps, and the American Red Cross, California National Guard",-120.6269,35.3477,,fde8f46b-0225-4489-be2d-68453a524190,https://www.fire.ca.gov/incidents/2015/8/16/cuesta-fire/,2015-08-28T18:15:00Z,2015-08-28,2015-08-16,N,True,False
Horse Fire,True,2015-08-29T07:00:00Z,2015-08-18T18:30:00Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Saddle Mountain Road, 6 miles NE Shelter Cove",146,100,,"CAL FIRE Humboldt-Del Norte Unit, BLM, CDCR, CCC, Humboldt Co. Sheriff, Humboldt OES, Shelter Cove Fire, Briceland Fire",-124.0720419,40.1058823,,cbaa4a28-c732-4c11-9d44-7da6c3bd8e42,https://www.fire.ca.gov/incidents/2015/8/18/horse-fire/,2015-08-29T07:00:00Z,2015-08-29,2015-08-18,N,True,False
Tesla Fire,True,2015-08-22T18:30:00Z,2015-08-19T14:45:00Z,CAL FIRE Santa Clara Unit,,Alameda,"off Tesla Rd near Correl Hollow, between Livermore and Tracy",2700,100,,CAL FIRE Santa Clara Unit,-121.3732,37.3845,,8fc920eb-ca45-4d77-9a92-1326eca602d6,https://www.fire.ca.gov/incidents/2015/8/19/tesla-fire/,2015-08-22T18:30:00Z,2015-08-22,2015-08-19,N,True,False
Grade Fire,True,2015-08-25T18:30:00Z,2015-08-24T12:12:00Z,CAL FIRE Sonoma Lake Napa,,Lake,"Jerusalem Grade Rd & June Bug Rd, 7 miles northeast of Middletown",22,100,,CAL FIRE Sonoma Lake Napa,-122.53428,38.831478,,909d6135-070c-4e3b-ba22-23877fb603c3,https://www.fire.ca.gov/incidents/2015/8/24/grade-fire/,2015-08-25T18:30:00Z,2015-08-25,2015-08-24,N,True,False
Peterson Fire,True,2015-08-27T15:15:00Z,2015-08-22T17:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"off Peterson Lane and Adobe Creek Road, near Kelseyville",215,100,,"CAL FIRE Sonoma-Lake-Napa Unit, Kelseyville FD, South Lake FPD, Lake Co. Sheriff, PG&E, CDCR",-122.879272,38.925764,,02d470c1-bf41-4ff9-9424-f680cef5bbbc,https://www.fire.ca.gov/incidents/2015/8/22/peterson-fire/,2015-08-27T15:15:00Z,2015-08-27,2015-08-22,N,True,False
Summit Fire,True,2015-09-11T15:00:00Z,2015-08-23T12:25:00Z,USFS - San Bernardino National Forest,,San Bernardino,"at Knickerbocker Road and Pine Knot, south of Big Bear Lake",55,100,,USFS - San Bernardino National Forest,-116.883,34.23,,d0875efe-54fb-4cc2-b647-4f4d210df118,https://www.fire.ca.gov/incidents/2015/8/23/summit-fire/,2015-09-11T15:00:00Z,2015-09-11,2015-08-23,N,False,False
Democrat Fire,True,2015-08-29T18:45:00Z,2015-08-25T14:08:00Z,CAL FIRE Shasta-Trinity Unit,,Trinity,"Democrat Gulch, west of Weaverville ",128,100,,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Weaverville Fire Department, Lewiston Volunteer Fire Department, Douglas City Volunteer Fire Department, United States Forest Service, Trinity County Sherriff’s Office, Bureau of Land Management, American Red Cross, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol",-122.96174,40.724898,,da522578-443a-4c52-a9bb-d72bbb84dcdb,https://www.fire.ca.gov/incidents/2015/8/25/democrat-fire/,2015-08-29T18:45:00Z,2015-08-29,2015-08-25,N,True,False
Elk Fire,True,2015-09-08T19:28:00Z,2015-09-02T14:57:00Z,CAL FIRE Sonoma-Lake-Napa Unit / Mendocino National Forest,,Lake,"Off of Elk Mountain Road and Mount Dinger Road, north of Upper Lake",673,100,,"CAL FIRE Sonoma-Lake-Napa Unit / Mendocino National Forest, CALFIRE, USFS, North Shore Fire District, Lake County Sheriff’s Office and CHP.",-122,55.23,,0eed7005-6ace-4eb2-8919-eb131c246f84,https://www.fire.ca.gov/incidents/2015/9/2/elk-fire/,2015-09-08T19:28:00Z,2015-09-08,2015-09-02,N,True,False
Olive Fire,True,2015-09-03T19:35:00Z,2015-09-02T13:18:00Z,CAL FIRE Butte Unit,,Butte,"Off of Olive Tree Lane, south of Oroville ",72,100,Temporary road closure to Mission Olive Road,"CAL FIRE Butte Unit, CHP, Plumas National Forest, Butte County Public Works and PG&E",-121,26.42,,3435fd06-f77e-42c3-8fa5-261cf0cb828c,https://www.fire.ca.gov/incidents/2015/9/2/olive-fire/,2015-09-03T19:35:00Z,2015-09-03,2015-09-02,N,True,False
"Kramer Fire ",True,2015-08-30T08:00:00Z,2015-08-29T16:06:00Z,CAL FIRE Lassen-Modoc Unit,,Lassen,"off of Kramer Road and 4 Corners Road, west of Beiber ",30,100,,CAL FIRE Lassen-Modoc Unit,-121.194256,41.12362,,bb500714-470e-4529-a15a-11d96e85cc68,https://www.fire.ca.gov/incidents/2015/8/29/kramer-fire/,2015-08-30T08:00:00Z,2015-08-30,2015-08-29,N,True,False
Oak Fire,True,2015-09-15T19:15:00Z,2015-09-08T13:23:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,"off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora ",108,100,Old Oak Ranch Road  remains closed. Big Hill Road is open.,"CAL FIRE Tuolumne-Calaveras Unit, California Department of Corrections, California Highway Patrol, Stanislaus National Forest, Tuolumne County Fire Department, Twain Harte C.S.D. Fire-Rescue, Tuolumne County Sheriff’s Department; Tuolumne County Road Department, American Red Cross, PG&E; AT&T; Comcast.",-120.30188,38.04684,,40f44488-051f-4412-a577-c932f2ce751d,https://www.fire.ca.gov/incidents/2015/9/8/oak-fire/,2015-09-15T19:15:00Z,2015-09-15,2015-09-08,N,True,False
Browns Fire,True,2015-09-10T17:05:00Z,2015-09-08T15:56:00Z,CAL FIRE Shasta-Trinity Unit,,Trinity,Hwy 299 and Little Browns Creek Rd east of Weaverville,35,100,,CAL FIRE Shasta-Trinity Unit,41.46,40,,5046e2ed-e2c3-4932-8f89-64dcdf19022d,https://www.fire.ca.gov/incidents/2015/9/8/browns-fire/,2015-09-10T17:05:00Z,2015-09-10,2015-09-08,N,True,False
