incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Teddy Fire,True,2020-06-25T08:53:58Z,2020-06-18T22:33:51Z,CAL FIRE Butte Unit/Butte County Fire Department,,Butte,"Teddy Lane and Bangor Park Rd., Bangor",13,100,,,-121.45372,39.37577,Wildfire,036cc8f1-ab4e-488c-8c46-86ebbb176d3e,https://www.fire.ca.gov/incidents/2020/6/18/teddy-fire/,2020-06-18T08:53:00Z,2020-06-18,2020-06-18,N,True,False
Springs Fire,True,2020-07-24T15:35:27Z,2020-06-19T15:19:44Z,CAL FIRE Tulare Unit,,Tulare,Hot Springs Dr and M-56,217,100,,,-118.8613,35.89133,Wildfire,0413caad-a48e-447b-8ed8-1c8933360f21,https://www.fire.ca.gov/incidents/2020/6/19/springs-fire/,2020-06-22T19:22:00Z,2020-06-22,2020-06-19,N,True,False
Honcut Fire,True,2020-06-20T19:14:48Z,2020-06-20T14:24:00Z,CALFIRE Butte Unit,,Butte,"Palermo Honcut Hwy and Four Junes Way, south of Palermo",89,100,,,-121.53976,39.36894,Wildfire,a1959cb6-24e4-45e6-bcca-b792abe932ce,https://www.fire.ca.gov/incidents/2020/6/20/honcut-fire/,2020-06-20T19:14:00Z,2020-06-20,2020-06-20,N,True,False
East Fire,True,2020-06-21T09:57:32Z,2020-06-20T17:23:41Z,CALFIRE Lassen-Modoc Unit,,Modoc,County Road 79 and East 19th Street,11,100,Forward spread stopped,,-120.54161,41.5017,Wildfire,d7f02c71-a8b5-440a-b4a8-b8e011e214e3,https://www.fire.ca.gov/incidents/2020/6/20/east-fire/,,,2020-06-20,N,True,False
Quarter Fire,True,2020-07-07T14:35:05Z,2020-06-21T11:33:36Z,USFS Stanislaus National Forest,,Tuolumne,"Italian Bar Road and Grant Ridge Road, North of Twain Harte",10,100,,"Stanislaus National Forest ",-120.20316,38.08264,Wildfire,641c7a44-b74a-4dce-bd7d-44078847003b,https://www.fire.ca.gov/incidents/2020/6/21/quarter-fire/,2020-07-07T14:34:00Z,2020-07-07,2020-06-21,N,False,False
Hunter Fire,True,2020-06-25T18:55:30Z,2020-06-21T16:29:28Z,"CAL FIRE San Benito Unit ",,Monterey,"River Road and Interlake Road, South of Lockwood",195,100,,,-121.08753,35.90835,Wildfire,c50ced87-e83c-406c-b349-49cad87e680f,https://www.fire.ca.gov/incidents/2020/6/21/hunter-fire/,2020-06-25T18:55:00Z,2020-06-25,2020-06-21,N,True,False
Stage Fire,True,2020-06-22T19:12:25Z,2020-06-21T21:50:06Z,"CAL FIRE San Benito Unit ",,Monterey,"  Old Stage Road and Williams Road, Northeast of Salinas",52,100,,,-121.57407,36.69845,Wildfire,d0e31652-2b1e-4316-a1e0-c18ecb4ddbd7,https://www.fire.ca.gov/incidents/2020/6/21/stage-fire/,2020-06-22T19:12:00Z,2020-06-22,2020-06-21,N,True,False
"Grade Fire ",True,2020-07-24T15:35:14Z,2020-06-22T08:16:27Z,CAL FIRE Tulare Unit,,Tulare,"Boyd Dr and Rd 168, east of Orosi",1050,100,,,-119.19677,36.5537,Wildfire,e7d05a34-0fdc-4db2-b713-0e10119d105d,https://www.fire.ca.gov/incidents/2020/6/22/grade-fire/,2020-06-26T06:39:00Z,2020-06-26,2020-06-22,N,True,False
"Rico Fire ",True,2020-06-23T07:08:20Z,2020-06-22T15:55:55Z,CAL FIRE San Benito-Monterey Unit,,Monterey,"Sargents Canyon Rd and Dead Mans Gulch Rd, southeast of San Ardo",338,100,,,-120.87858,35.9789,Wildfire,cf392ebe-9c69-4a28-b52b-3772c06b493c,https://www.fire.ca.gov/incidents/2020/6/22/rico-fire/,2020-06-23T07:07:00Z,2020-06-23,2020-06-22,N,True,False
River Fire,True,2020-06-25T09:05:06Z,2020-06-22T13:55:00Z,,,San Luis Obispo,"River Road and Creston Road, West of Paso Robles",15,100,,"Paso Robles Fire Department ",-120.68326,35.62906,Wildfire,58e5665a-7aff-4f14-8ebe-490e73d3d37a,https://www.fire.ca.gov/incidents/2020/6/22/river-fire/,2020-06-23T09:04:00Z,2020-06-23,2020-06-22,N,False,False
